code,name,postalCode,address,tel,fax,email,contactPerson,industry,notes
ｶ107,河商鉄工株式会社,737-0051,呉市中央6丁目3番1号,0823-21-8211,0823-24-6123,,,,
ｶ108,有限会社  鶴洋電機,852-8035,長崎県長崎市油木町8/44,095-848-7650,095-848-4070,,,,
ｶ109,海外技術株式会社,650-0041,兵庫県神戸市中央区新港町8-2,078-331-2705,078-331-2703,,,,
ｶ110,川重商事株式会社,650-0044,兵庫県神戸市中央区東川崎町3-1-1,078-651-8970,078-681-0009,,,,
ｶ111,株式会社,737-2607,呉市川尻町東2丁目14-21,0823-87-3521,0823-87-3803,,,,
ｶ112,海洋産業株式会社,140-0003,東京都品川区八潮1丁目1番2号,03-3790-1491,03-3790-1497,,,,
ｶ113,海光電業株式会社,150-0022,東京都渋谷区恵比寿南1-11-15,03-3713-7161,03-3713-8262,,,,
ｶ114,神田,737-0033,呉市寺本町15-15,,,,,,
ｶ115,鹿児島船舶株式会社,455-0028,愛知県名古屋市港区潮見町37-75,052-614-5873,052-614-5867,,,,
ｶ116,海洋電波株式会社,737-0031,広島県呉市上長迫町2-1,0823-24-2932,0823-24-2937,,,,
ｶ117,有限会社,736-0082,広島市安芸区船越南5-6-36,082-823-6677,082-823-3687,,,,
ｷ101,協成電機株式会社,737-0133,呉市広末広1丁目4-3,0823-73-5111,0823-73-5143,,,,
ｷ102,木下海運株式会社,779-1200,徳島県那賀郡那賀川町中島1338,0884-42-0165,,,,,
ｷ103,ｷﾑﾗ海陸通商株式会社,552-0021,大阪市港区築港4丁目7-4,06-6576-2222,06-6576-2221,,,,
ｷ104,株式会社,140-0003,東京都品川区八潮1丁目1-2,03-3790-0591,03-3790-0590,,,,
ｷ105,旭洋造船株式会社,752-0953,下関市長府港町8-7,083-246-2620,083-245-4130,,,,
ｷ106,極洋電機株式会社,550-0023,大阪市西区千代崎1丁目19-1,06-6581-5814,06-6584-0566,,,,
ｷ107,九州商船株式会社,850-0035,長崎市元船町16番12号,095-822-9920,095-822-9025,,,,
ｷ108,京橋産業株式会社,737-0004,広島県呉市阿賀南1丁目8-20,0823-76-0555,0823-76-0600,,,,
ｷ109,北日本造船株式会社,031-0801,青森県八戸市江陽３丁目１－２５,0178-47-2761,0178-47-2762,,,"・船舶の建造
・構築用金属製品の製造及び販売
・土木工事の施工
・海運業",
ｷ110,有限会社 共栄ｺｰﾃｨﾝｸﾞ,739-0132,広島県東広島市八本松町正力581-1,082-428-5023,082-428-7065,,,,
ｷ111,共栄ﾀﾝｶｰ株式会社,108-0073,東京都港区三田三丁目,03-4477-7163,03-4477-7174,,,,
ｷ112,共栄ﾏﾘﾝ株式会社,105-0003,東京都港区西新橋3丁目8番1号 第2鈴丸ﾋﾞﾙ,03-3434-2586,03-3434-2325,,,,
ｸ101,呉ﾒｶﾆｯｸ工業株式会社,737-1207,安芸郡音戸町波多見1丁目1-49,0823-52-2727,0823-52-2728,,,,
ｸ102,呉松山ﾌｪﾘｰ株式会社,737-0004,呉市阿賀南5丁目3-22,0823-72-5400,,,,,
ｸ103,株式会社,737-0823,広島県呉市海岸4丁目7-1,0823-24-9345,0823-24-9348,,,,
ｸ104,株式会社,737-0027,呉市昭和町２－１,0823-26-2316,0823-26-2394,,,,
ｸ105,桑畑電機株式会社,551-0031,大阪市大正区泉尾6丁目5-6,06-6552-0951,06-6552-0955,,,,インボイス番号: T6120001027371
ｸ106,株式会社,737-0051,呉市中央6丁目8-16,0823-26-6860,0823-26-6870,,,,
ｸ107,株式会社,652-0883,兵庫県神戸市兵庫区明和通2-2-15,078-686-1860,078-686-0332,,,,
ｸ108,呉精器工業株式会社,737-0004,広島県呉市阿賀南2丁目11-1,0823-72-5611,0823-71-0019,,,,
ｸ109,株式会社,105-0004,東京都港区新橋5丁目7番12号丸石新橋ﾋﾞﾙ,03-3437-5022,03-3437-5322,,,,
ｹ101,芸備商船株式会社,734-0011,広島市南区宇品海岸1-11-23,082-253-0166,082-254-0462,,,,
ｹ102,ｹｰｹｰｴﾝｼﾞﾆｱﾘﾝｸﾞﾄﾚｰﾀﾞｰｽﾞ株式会社,106-0031,東京都港区西麻布3丁目24-11,03-3402-5221,03-3402-5222,,,,
ｹ103,警固屋船渠株式会社,737-0012,呉市警固屋通6丁目1-11,0823-28-1112,0823-28-2137,,,,
ｹ104,株式会社,737-0143,呉市広白石2丁目9-38,0823-27-8731,0823-27-8732,,,,
ｹ105,株式会社 ケーシーエス,737-0823,広島県呉市海岸三丁目１７番２３号,0823-24-8118,0823-24-8434,,,,
ｺ101,株式会社,578-0947,大阪府東大阪市西岩田4-1-32,06-6781-4351,06-6784-1321,,,,
ｺ102,株式会社,737-0835,呉市新宮町13-5,0823-22-5086,0823-23-5218,,,,
ｺ103,有限会社,729-2512,呉市安浦町安登西9丁目7-1,0823-84-7913,0823-84-7666,,,,
ｺ105,金剛汽船株式会社,737-1215,呉市音戸町早瀬2-4-5,0823-56-0155,,,,,
ｺ108,幸陽船渠株式会社,729-2252,三原市幸崎町能地544-13,,,,,,
ｺ109,弘和電機株式会社,798-0007,愛媛県宇和島市寿町2-5-15,0895-22-3850,0895-22-0069,,,,
ｺ110,株式会社 ｺﾌﾞｷ,733-0002,広島市西区楠木町3丁目9-24,082-236-0177,082-230-0178,,,,
ｺ111,広陽電機株式会社,730-0052,広島市中区千田町3丁目13-15,082-244-0054,,,,,
ｺ112,恒徳汽船株式会社,857-0055,長崎県佐世保市湊町5-13,0956-25-5161,0956-25-3180,,,,
ｺ113,光洋電機株式会社,653-0039,兵庫県神戸市長田区日吉町3丁目,078-621-1212,078-647-5511,,,,
ｺ114,株式会社,739-0021,東広島市西条町助実18番地1,082-423-9601,082-423-9994,,,,
ｺ115,ｺﾝｼﾘｱﾑ･ﾆｯﾀﾝﾏﾘｰﾝ株式会社,151-0072,東京都渋谷区幡ケ谷1-21-7,03-5465-1881,03-5465-1887,,,,
ｺ116,広洋計装株式会社,231-0023,神奈川県横浜市中区山下町207番地,045-201-3676,045-201-6374,,,,
ｺ117,神戸船用品株式会社,650-0044,兵庫県神戸市中央区東川崎町4丁目1-2,078-681-2791,078-681-2777,,,,
ｻ101,山陽船舶電機株式会社,722-0037,尾道市西御所町4-29,0848-22-7155,0848-22-2125,,,,
ｻ103,山陽商船株式会社,725-0024,広島県竹原市港町3丁目1-7,0846-22-2133,0846-22-1435,,,,
ｻ104,株式会社,550-0027,大阪市西区九条1丁目19番16号,06-6584-1382,06-6584-1383,,,,
ｻ105,三信船舶電具株式会社,810-0075,福岡県福岡市中央区港3丁目1-66,092-771-1237,092-724-1342,,,,
ｻ106,株式会社 山商広島,737-0056,呉市朝日町17-2,0823-24-1851,0823-24-1852,,,,
ｻ107,有限会社,722-0073,尾道市向島町5615-41,0848-44-3858,0848-44-5722,,,,
ｻ108,三信船舶電具㈱ 高松営業所,760-0064,香川県高松市朝日新町30-5,0878-26-1165,,,,,
ｻ109,SUSﾊﾟﾝﾁﾝｸﾞﾊﾟﾈﾙ商品化ｸﾞﾙｰﾌﾟ,,,,,,,,
ｻ110,坂井汽船株式会社,737-2608,呉市川尻町小用2-6-11,0823-87-2293,,,,,
ｻ111,ｻﾗﾏｯｸ貿易株式会社,550-0002,大阪府大阪市西区江戸堀1丁目22-38,06-6445-1885,06-6445-1882,,,,
ｻ112,株式会社,737-0144,呉市広白岳５丁目5-3,0823-73-1343,0823-74-2648,,,,
ｻ113,山陽鋼材株式会社,737-0143,呉市広白石2丁目8-3,0823-71-3266,0823-74-2853,,,,
ｻ114,三協ﾏｼﾅﾘｰ株式会社,794-0072,愛媛県今治市山路546-3,0898-31-1130,0898-32-7438,,,,
ｻ115,有限会社,639-1117,奈良県大和郡山市番条町599-1,0743-59-6827,0743-59-6828,,,,
ｻ116,三光電業株式会社,733-0833,広島市西区商工センター5丁目11-7,082-278-2351,082-277-5818,,,,インボイス番号: T4240001003973
ｻ117,"Sandigan Ship Services,Inc",,,,,,,,
ｻ118,佐藤汽船株式会社,722-0014,尾道市新浜1丁目6-15,0848-25-3636,0848-25-5333,,,,
ｻ119,株式会社,530-6109,大阪市北区中ノ島3-3-23,06-4803-6216,,,,,
ｻ120,株式会社,557-0063,大阪市西成区南津守5-13-37,06-6661-1308,06-6651-2205,,,,
ｻ121,株式会社,739-2626,東広島市黒瀬町市飯田字遠見ヶ畝31-3,0823-82-1343,0823-82-4670,,,,
ｻ122,三光電業株式会社,732-0816,広島県広島市南区比治山本町6番5号,082-254-6171,082-254-6177,,,,インボイス番号: T4240001003973
ｻ123,株式会社三協電機,729-0141,広島県尾道市高須町875-21,0848-48-4356,0848-48-4355,,,,
ｻ124,株式会社三和ﾄﾞｯｸ,722-2102,広島県尾道市因島重井町600番地,0845-26-1111,0845-26-1000,,,,
ｻ125,三英電機工業所,737-0032,広島県呉市本町1番2号,0823-21-3209,0823-21-4916,,,,
ｻ126,さくら海運株式会社,737-0875,広島県呉市天応大浜3-2-21,0823-38-8988,0823-38-8977,,,,
ｻ127,三和電気株式会社,729-0141,広島県尾道市高須町875-21,0848-48-4356,0848-48-4355,,,,
ｼ101,新日本海重工業株式会社,931-8345,富山市西宮71,0764-37-9271,0764-38-1431,,,,
ｼ102,清水電機株式会社,737-0823,呉市海岸1丁目4-1,0823-22-2927,0823-22-2675,,,,
ｼ103,株式会社ｼﾞｪｰ･ｱｰﾙ･ｼｰ･ｴｽ,750-8515,下関市東大和町1丁目2-14,0832-61-0300,0823-61-0330,,,,
ｼ104,株式会社ｼﾞｪ-･ｱ-ﾙ･ｼ-･ｴｽ   東京営業所,150-0036,東京都渋谷区南平台町13-15,03-3463-7841,03-5458-7485,,,,
ｼ105,富士電機株式会社,791-1102,松山市来住町1194,089-975-3640,089-975-5459,,,,
ｼ106,志和貨物自動車株式会社,739-0267,広島県東広島市志和町別府1905-1,0824-33-2018,0824-33-2094,,,,インボイス番号: T9240001022829
ｼ107,新池,,,,,,,,
ｼ108,株式会社 ｼｰﾒｲﾄ,733-0012,広島県広島市西区中広町1丁目4-20,082-235-2351,082-235-2352,,,,
ｼ109,新日本石油ﾏﾘﾝｻｰﾋﾞｽ株式会社,891-0202,鹿児島県揖宿郡喜入町中名塞汐入1003-5,0993-45-1233,0993-45-2541,,,,
ｼ110,新日本石油タンカー株式会社,231-0062,神奈川県横浜市中区桜木町1丁目1-8,045-683-2697,045-683-2690,,,,
ｼ111,商船三井ﾃｸﾉﾄﾚｰﾄﾞ株式会社,221-0035,神奈川県横浜市神奈川区星野町1番地,045-441-2081,045-441-2084,,,,
ｼ112,新糸満造船株式会社,901-0305,沖縄県糸満市西崎1丁目6-2,098-994-5111,098-992-3650,,,,
ｼ113,松栄商事株式会社,730-0854,広島市中区土橋町5番15号,082-291-2666,082-291-2660,,,,
ｼ114,株式会社,737-0303,呉市下蒲刈町下島3264-5,0823-65-2193,0823-65-2237,,,,
ｼ115,JRCS株式会社,759-6301,下関市豊浦町川棚2155,083-775-1115,083-775-1150,,,,インボイス番号: T5250001006140
ｼ116,ｼﾞｬﾊﾟﾝ ﾏﾘﾝﾕﾅｲﾃｯﾄﾞ株式会社,737-0027,呉市昭和町2番1号,0823-26-2267,0823-26-2496,,,,インボイス番号: T8020001076641
ｼ117,ｼﾞｬﾊﾟﾝ ﾏﾘﾝﾕﾅｲﾃｯﾄﾞ株式会社,235-8501,神奈川県横浜市磯子区新杉田町12番地,045-759-2317,045-759-2622,,,,インボイス番号: T8020001076641
ｼ118,株式会社,678-0041,兵庫県相生市相生5292,0791-24-2424,0791-24-2493,,,,
ｼ119,商船三井ﾃｸﾉﾄﾚｰﾄﾞ株式会社,650-0027,兵庫県神戸市中央区中町通2-1-18,078-367-5621,078-367-5634,,,,
ｼ120,有限会社,737-0303,広島県呉市下蒲刈町下島3406-3,0823-65-2056,,,,,
ｼ121,信栄電機株式会社,650-0022,兵庫県神戸市中央区元町通5丁目5-2,078-341-3654,078-361-3736,,,,
ｼ122,株式会社,530-0012,大阪府大阪市北区芝田2-8-31,06-6372-1515,06-6373-2766,,,,
ｼ123,新中鈴株式会社,100-0013,東京都千代田区霞が関3-2-1,03-5532-5410,03-5532-5415,,,,
ｼ124,ｼﾞｬﾊﾟﾝ ﾏﾘﾝﾕﾅｲﾃｯﾄﾞ株式会社,869-0113,熊本県玉名郡長洲町大字有明1番地,0968-65-7272,,,,,インボイス番号: T8020001076641
ｼ125,ｼﾞｬﾊﾟﾝ ﾏﾘﾝﾕﾅｲﾃｯﾄﾞ株式会社,108-0014,東京都港区芝5丁目36-7,03-6722-6320,,,,,インボイス番号: T8020001076641
ｼ126,ｼﾞｬﾊﾟﾝ ﾏﾘﾝﾕﾅｲﾃｯﾄﾞ株式会社,514-0398,三重県津市雲出鋼管町1番地3,059-238-6344,059-238-6437,,,,インボイス番号: T8020001076641
ｼ127,ｼﾞｬﾊﾟﾝﾏﾘﾝｿﾘｭｰｼｮﾝｽﾞ株式会社,113-0033,東京都文京区本郷3-11-5,03-6801-6785,03-6801-6786,,,,
ｼ128,ｼﾞｮｲﾎﾟｰﾄ南淡路株式会社,656-0501,兵庫県南あわじ市福良甲1530-14,0799-52-0054,0799-52-3081,,,,
ｼ129,ｼﾞｬﾊﾟﾝ ﾏﾘﾝﾕﾅｲﾃｯﾄﾞ株式会社,722-2393,広島県尾道市因島土生町2477番地16,0845-22-1220,0845-22-0383,,,,インボイス番号: T8020001076641
ｼ130,ｼﾞｬﾊﾟﾝ ﾏﾘﾝﾕﾅｲﾃｯﾄﾞ株式会社,737-0027,呉市昭和町2番1号,0823-26-2346,0823-26-2181,,,,インボイス番号: T8020001076641
ｼ131,有限会社 柴田電機商会,222-0026,神奈川県横浜市港北区篠原町1034-1,045-433-2550,,,,,
ｼ132,ｼﾞｬﾊﾟﾝ ﾏﾘﾝﾕﾅｲﾃｯﾄﾞ株式会社,625-8501,京都府舞鶴市余部下１１８０番地,0773-62-8712,0773-62-8849,,,,インボイス番号: T8020001076641
ｽ101,周防大島松山ﾌｪﾘｰ株式会社,742-2601,山口県大島郡周防大島町伊保田1366-3,0820-75-1575,0820-75-5312,,,,インボイス番号: T4240001027824
ｽ102,菅原汽船株式会社,737-0154,呉市仁方桟橋通18-9,0823-79-5887,0823-79-5889,,,,
ｽ103,ｽﾅﾐ ﾏﾘﾝ株式会社,652-0831,兵庫県神戸市兵庫区七宮町1丁目4-22,078-651-5477,,,,,
ｽ104,住友重機械ﾏﾘﾝｴﾝｼﾞﾆｱﾘﾝｸﾞ株式会社,237-8555,神奈川県横須賀市夏島町19番地,046-869-1635,046-869-1786,,,,
ｽ105,国立研究開発法人,851-2213,長崎県長崎市多以良町1551-8,095-860-1610,095-850-7767,,,,
ｾ101,誠和産業株式会社,737-0003,呉市阿賀中央3丁目1-13,0823-73-6636,0823-74-1238,,,,
ｾ102,せとうち物流株式会社,721-0955,広島県福山市新涯町2丁目23-1,0849-54-0210,,,,,
ｾ103,ｾﾝｺｰ株式会社,105-0014,東京都港区芝2丁目5-6,03-5730-7013,03-5730-7028,,,,
ｾ104,株式会社 正興電機製作所,812-0008,福岡県福岡市博多区東光２丁目７番２５,092-473-8939,092-473-9065,,,,
ｿ101,造船共同企業体,808-0021,北九州市若松区碧町1丁目87-1,093-752-1425,093-752-1428,,,,
ﾀ101,第一舶用電機株式会社,737-0823,呉市海岸2丁目13-7,0823-21-6588,,,,,
ﾀ103,大新電工株式会社,737-0822,呉市築地町4-40,0823-22-6111,,,,,インボイス番号: T4240001027824
ﾀ104,ﾀｲｺｳ工業株式会社,722-0037,尾道市西御所10-1,0848-23-2323,,,,,
ﾀ105,玉力汽船株式会社,729-2606,呉市川尻町久筋2-7-37,0823-87-2056,0823-87-6058,,,,
ﾀ106,第一工営株式会社,314-0051,茨城県鹿島郡神栖町光1番地,0299-82-9195,0299-82-6217,,,,
ﾀ107,ﾀﾞｲﾅﾐｯｸﾂｰﾙ株式会社,222-0032,神奈川県横浜市港北区大豆戸町365-1,045-545-5531,045-545-5512,,,,
ﾀ108,太平洋ﾌｪﾘｰ株式会社,455-0847,名古屋市港区空見町40番地,052-398-1454,052-398-1019,,,,
